time_start_time_trial,time_end_time_trial,rotation,chart_type,log_error,totalSequence,arc_angle_area,judged_true,ans_percentage_diff,opposite_ans,ans_trial,postID,correct_ans,time_diff_time_trial
1440102713615,1440102719183,131.69889925047755,Pie Angle Chart,4.531381460516312,38,,23,0.6216216216216216,63,60,idkntpes,37,5568
1440102599827,1440102603728,318.9852327760309,Arc-Length Chart,-3,8,,0,0,27,73,idkntpes,73,3901
1440102855175,,323.31711147911847,Donut Chart,4.651051691178929,71,Arc-Length,-25,-1,75,Area,idkntpes,25,
1440102851162,1440102855173,128.46840740181506,Donut Chart,2.8328900141647417,70,Arc-Length,-7,-0.1891891891891892,63,30,idkntpes,37,4011
1440102627450,1440102628983,319.5401269197464,Pie Chart,4.651051691178929,15,,-25,-1,75,,idkntpes,25,1533
1440102623802,1440102627449,239.94020671583712,Donut Angle Chart,-3,14,,0,0,18,82,idkntpes,82,3647
1440102611589,1440102615295,213.606435097754,Pie Angle Chart,-3,11,,0,0,23,77,idkntpes,77,3706
1440102607346,1440102611589,287.41090754047036,Pie Angle Chart,-3,10,,0,0,82,18,idkntpes,18,4243
1440102620144,1440102623801,127.32417024672031,Donut Angle Chart,-3,13,,0,0,92,8,idkntpes,8,3657
1440102615296,1440102620144,37.44343911297619,Donut Chart,4.651051691178929,12,,-25,-1,75,,idkntpes,25,4848
1440102792373,1440102796132,159.56286775879562,Pie Angle Chart,6.428360172704291,59,,86,21.5,96,90,idkntpes,4,3759
1440102789222,1440102792372,263.90933515504,Area Chart,0.16992500144231237,58,,1,0.05263157894736842,81,20,idkntpes,19,3150
1440102632448,,38.034196654334664,Area Chart,-3,17,,0,0,33,67,idkntpes,67,
1440102628983,1440102632447,244.49223786592484,Area Chart,-3,16,,0,0,86,14,idkntpes,14,3464
1440102777976,1440102781916,354.40874453634024,Donut Chart,0.16992500144231237,55,,-1,-0.01639344262295082,39,60,idkntpes,61,3940
1440102635982,1440102640378,82.1374501939863,Donut Angle Chart,3.7142455176661224,18,,13,0.19402985074626866,33,80,idkntpes,67,4396
1440102786239,1440102789220,61.29148593172431,Donut Chart,1.6438561897747246,57,,3,0.06382978723404255,53,50,idkntpes,47,2981
1440102781920,1440102786239,345.76688200235367,Donut Angle Chart,4.330916878114617,56,,20,0.5,60,60,idkntpes,40,4319
1440102763848,1440102767125,205.57336427271366,Donut Angle Chart,6.047123912114026,51,,-66,-0.7674418604651163,14,20,idkntpes,86,3277
1440102760518,1440102763848,160.58286507613957,Donut Angle Chart,5.810571634741147,50,,56,2.9473684210526314,81,75,idkntpes,19,3330
1440102770214,1440102773609,159.25778408534825,Arc-Length Chart,1.0874628412503393,53,,-2,-0.021739130434782608,8,90,idkntpes,92,3395
1440102767127,1440102770214,283.5184397175908,Area Chart,3.189824558880017,52,,-9,-0.10112359550561797,11,80,idkntpes,89,3087
1440102640378,1440102644207,246.6862447746098,Pie Chart,2.8328900141647417,19,,-7,-0.08536585365853659,18,75,idkntpes,82,3829
1440102773609,1440102777976,37.31676148250699,Arc-Length Chart,3.9188632372745946,54,,15,0.23076923076923078,35,80,idkntpes,65,4367
1440102691511,1440102697614,87.84157410264015,Pie Angle Chart,5.810571634741147,33,,-56,-0.691358024691358,19,25,idkntpes,81,6103
1440201164186,1440201169025,157.51075733453035,Arc-Length Chart,-3,30,,0,0,53,47,idmagk6b,47,4839
1440200982642,1440200989217,182.63589120469987,Pie Chart,0.16992500144231237,0,Arc-Length,1,0.01098901098901099,9,92,idmagk6b,91,6575
1440201269547,1440201274103,52.87857801653445,Pie Chart,3.3398500028846247,37,,10,0.15384615384615385,35,75,idmagk6b,65,4556
1440201118743,1440201123282,221.73699642531574,Area Chart,2.8328900141647417,22,,-7,-0.1891891891891892,63,30,idmagk6b,37,4539
1440201264270,1440201269546,3.7171276286244392,Donut Angle Chart,6.541096615349524,36,,93,31,97,96,idmagk6b,3,5276
1440202418180,1440202420781,242.67642703838646,Pie Angle Chart,5.861086905995394,60,,-58,-0.7435897435897436,22,20,idmagk6b,78,2601
1440202420782,1440202424483,7.091085892170668,Donut Angle Chart,6.306061689428342,61,,79,7.181818181818182,89,90,idmagk6b,11,3701
1440202424484,1440202428754,30.61957315541804,Pie Chart,1.6438561897747246,62,,-3,-0.06976744186046512,57,40,idmagk6b,43,4270
1440202428755,1440202434369,180.65643570385873,Pie Angle Chart,4.467605550082998,63,,-22,-0.3548387096774194,38,40,idmagk6b,62,5614
1440202434370,1440202436965,274.38934930600226,Pie Angle Chart,1.6438561897747246,64,,3,0.057692307692307696,48,55,idmagk6b,52,2595
